segment,segment_value,MAE,RMSE,MAPE,sMAPE,n,fold,model
hour,19,0.29325600000000007,0.510063860054144,66.9207622732917,49.11117605912174,1500,1,baseline_lag24
hour,20,0.2897693333333333,0.4819737779865899,63.69266481723279,51.01096302290087,1500,1,baseline_lag24
hour,21,0.28326931407942235,0.4331958045204866,68.49471045481633,51.582197258118455,1385,1,baseline_lag24
hour,22,0.23719193324061197,0.3704843914171384,57.768148750346285,47.16085223021311,1438,1,baseline_lag24
hour,23,0.2645402777777778,0.43716704473233114,77.58962678851013,52.28323264527563,1440,1,baseline_lag24
day_of_week,0,0.3018311281337047,0.50528273959827,76.20469724843802,52.61166096529468,5744,1,baseline_lag24
day_of_week,1,0.2907610175564314,0.5103518053709928,70.24630290021344,48.33284312260944,5582,1,baseline_lag24
day_of_week,2,0.28585138888888895,0.4951580434194349,76.73761606610738,52.58114466031781,4320,1,baseline_lag24
day_of_week,3,0.24935196034249663,0.4199951758344375,71.46131263140154,51.521173406726874,4438,1,baseline_lag24
day_of_week,4,0.35425243055555555,0.650715267246572,76.53423016001638,53.58186222356118,5760,1,baseline_lag24
day_of_week,5,0.2938846498298406,0.5050968769412721,72.92425788115632,52.53074409853835,5583,1,baseline_lag24
day_of_week,6,0.3069837962962963,0.5435621782893533,78.96495203019514,54.94467797630534,4320,1,baseline_lag24
month,7,0.2532615076717812,0.4040514022874569,81.65368002586698,57.36188922243777,2998,1,baseline_lag24
month,8,0.3037158997221289,0.5361141827342019,73.98059813041152,51.76028456091203,32749,1,baseline_lag24
hour,0,0.005649053078053425,0.010803053506472338,1.4084245155421111,1.385179645346551,1484,1,random_forest
hour,1,0.00484102954510568,0.009205700460659091,1.322789931956494,1.2973000021232137,1500,1,random_forest
hour,2,0.004785026643460063,0.009006657439800619,1.3926510254407283,1.3644239754826268,1500,1,random_forest
hour,3,0.004754616848419598,0.009762843712853787,1.3648475019799489,1.3374116056794865,1500,1,random_forest
hour,4,0.0056311285236805,0.010830190264168925,1.354298131866889,1.3297401505914959,1500,1,random_forest
hour,5,0.004792671111415264,0.009095554454790405,1.300932339305278,1.2718742998652468,1500,1,random_forest
hour,6,0.004637166541232605,0.00927559678973707,1.4100224753587582,1.3835440345293644,1500,1,random_forest
hour,7,0.0072955826023142585,0.01716077621520764,1.3710856990900822,1.3518410382019028,1500,1,random_forest
hour,8,0.008001189995084411,0.017298904034625598,1.6779924499961023,1.675213336224074,1500,1,random_forest
hour,9,0.007613467595198385,0.01512294430546112,1.545704408246595,1.5540443457659943,1500,1,random_forest
hour,10,0.006054901994898394,0.01245298877916244,1.552231382102982,1.552184433004058,1500,1,random_forest
hour,11,0.005795713804661268,0.014727399351955085,1.524347631982694,1.4906067067789206,1500,1,random_forest
hour,12,0.008429011469939589,0.019588777729053604,1.7376868386382736,1.7496514837660484,1500,1,random_forest
hour,13,0.008788432850347997,0.02464220195783458,1.663231157294504,1.6337032179565452,1500,1,random_forest
hour,14,0.00846564235801909,0.020575297825900316,1.6803122365014793,1.667612420038801,1500,1,random_forest
hour,15,0.007530915935372752,0.016729133101563636,1.6442796225642728,1.6078849649597813,1500,1,random_forest
hour,16,0.006881114948428152,0.018599849970356887,1.2886550520973836,1.267659092578051,1500,1,random_forest
